movie|genreList|filename|path|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western
10thingsihateaboutyou|Comedy, Romance|10thingsihateaboutyou.txt|Comedy/10thingsihateaboutyou.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
12|Comedy|12.txt|Comedy/12.txt|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
127hours|Adventure, Drama, Thriller|127hours.txt|Adventure/127hours.txt|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
12andholding|Drama|12andholding.txt|Drama/12andholding.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
12monkeys|Drama, Sci-Fi, Thriller|12monkeys.txt|Drama/12monkeys.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0
12yearsaslave|Drama|12yearsaslave.txt|Drama/12yearsaslave.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1492conquestofparadise|Adventure, Drama|1492conquestofparadise.txt|Adventure/1492conquestofparadise.txt|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15minutes|Action, Crime, Thriller|15minutes.txt|Action/15minutes.txt|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
17again|Comedy, Drama, Romance|17again.txt|Comedy/17again.txt|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
187|Drama|187.txt|Drama/187.txt|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2001aspaceodyssey|Adventure, Sci-Fi|2001aspaceodyssey.txt|Adventure/2001aspaceodyssey.txt|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
