movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount
evildeadiideadbydawn,0.673494355856857,0.0166021029330382,0.00892611919802252,1,1,1,2,3,0,0
hellboundhellraiserii,0.814301259792536,0.00785269428648795,0.00302647205302073,1,2,1,5,8,0,0
terminator2judgementday,0.831174500788811,0.0340150699677072,0.0113083267756696,1,1,1,1,1,0,0
crash,0.836875092680637,0.0145348837209302,0.00382281553398058,1,1,1,1,1,0,0
armyofdarkness,0.837873305234995,0.0129773822766036,0.00685965152970229,1,2,1,1,1,0,0
indianajonesandtheraidersofthelostark,0.878484172827332,0.0372763419483101,0.0105635085418716,1,1,1,1,1,0,0
xmen,0.895242035931707,0.0139200718455321,0.00593516396829571,1,1,1,1,2,0,0
indianajonesiv,0.905488310972664,0.0580383052814858,0.0188921183108224,1,1,1,1,1,0,0
mud,0.913985218983646,0.000774893452150329,0.000317886408589997,1,2,1,1,0,0,0
danceswithwolves,0.928272949874536,0.0137090632140137,0.00478331853464326,1,1,1,1,1,0,0
blackswan,0.942326781137152,0.00716743119266055,0.00424141686249785,1,1,1,1,0,0,0
panicroom,0.95268433164671,0.0216587427363973,0.00771888883902527,1,1,1,1,2,0,0
fridaythe13thpartviiijasontakesmanhattan,0.961734425086444,0.0204651162790698,0.00725952813067151,1,1,1,1,1,0,0
bloodsimple,0.973966214441825,0.025028441410694,0.00938679726558514,1,1,1,1,1,0,0
indianajonesandthetempleofdoom,0.982000746260765,0.0311425682507583,0.00995777399634461,1,1,1,1,12,0,0
bladeii,0.994418734057028,0.0376018932421772,0.0139538805278024,1,1,1,1,2,0,0
jurassicparkthelostworld,0.998214011331646,0.0265136525524337,0.00989528292823518,1,1,1,2,2,0,0
prometheus,1.00385353271275,0.0192490494296578,0.00577502510880482,1,1,1,1,0,0,0
crowthe,1.01930852014741,0.0311050477489768,0.0102178523231155,1,1,1,1,2,0,0
mummythe,1.02233508836752,0.00772291130353382,0.00257283390087022,1,1,1,1,1,0,0
darkcity,1.03005306301802,0.0330157323288278,0.0115656963021243,1,2,1,1,1,0,0
petsematary,1.03487113392583,0.00247066090179123,0.00105816493719279,1,1,1,1,0,0,0
blade,1.037501757294,0.0308158625915635,0.0100803007004955,1,2,1,1,1,0,0
rambofirstbloodiithemission,1.03894556154096,0.0558460573101862,0.0174006530222187,1,1,1,1,2,0,0
takeshelter,1.04085998994767,0.000840100812097452,0.000309757356737223,1,1,1,1,0,0,0
frankenstein,1.04284187931135,0.0346113989637306,0.0118445660455773,1,1,1,1,1,0,0
castaway,1.0433461585351,0.00883002207505519,0.00391913391020915,1,1,1,1,2,0,0
nightmareonelmstreetthefinalchapter,1.04630680887164,0.00544824170381377,0.00171979865771812,1,1,1,1,1,0,0
fugitivethe,1.04665779090425,0.0250212044105174,0.00984251968503937,1,1,1,1,1,0,0
mimic,1.05957761076887,0.0405679513184584,0.0167897587395372,1,1,1,1,1,0,0
braveheart,1.06217313635109,0.00887228578099463,0.00226039783001808,1,1,1,1,1,0,0
shivers,1.06235387893316,0.0613706102966246,0.021070439864657,1,1,1,1,1,0,0
worldisnotenoughthe,1.06307869090999,0.0328288707799767,0.0111120057975682,1,1,1,1,1,0,0
silverbullet,1.06401467340839,0.00192492781520693,0.000625464211719636,1,2,1,1,0,0,0
bladerunner,1.06426998305574,0.00213827512473272,0.00101192309384487,1,2,1,1,1,0,0
codeofsilence,1.06721645075114,0.0422901756668835,0.0136627906976744,1,1,1,1,1,0,0
residentevil,1.0678769311159,0.00546875,0.00240620265573478,1,2,1,1,0,0,0
abyssthe,1.0702680397896,0.0229965156794425,0.00904278057281905,1,1,1,1,12,0,0
bladetrinity,1.07457815391542,0.0359202936549554,0.0131650893796004,1,2,1,3,1,0,0
hauntingthe,1.07837037002127,0.031437125748503,0.0134477324461565,1,1,1,1,2,0,0
soldier,1.07852816697931,0.0558262281770199,0.0173592344132515,2,1,1,1,3,0,0
barrylyndon,1.08124539385394,0.0121768140116764,0.00490765853028542,1,1,1,1,1,0,0
patriotthe,1.08478519199248,0.013394495412844,0.00733437947738282,1,1,1,1,1,0,0
conanthebarbarian,1.08754052427145,0.0260364004044489,0.00696677384780279,1,1,1,1,0,0,0
missiontomars,1.09179962723048,0.0226125580456289,0.00770802710357437,1,1,1,1,1,0,0
halloweenthecurseofmichaelmyers,1.09585708409759,0.0405011655011655,0.0172807899789705,1,1,1,1,1,0,0
machinegunpreacher,1.1000496101733,0.00420609884332282,0.00123645356025893,1,1,1,1,0,0,0
rearwindow,1.10024348290137,0.0584814753281276,0.0203546559161005,1,1,1,1,1,0,0
crowsalvationthe,1.10088049204002,0.049823991334958,0.0147883479728053,1,1,1,1,1,0,0
hellraiser,1.10095545862731,0.0404097894137735,0.0174785946265131,1,1,1,2,3,0,0
birthdaygirl,1.10115045251907,0.020595690747782,0.0069900824471263,1,1,1,1,1,0,0
colombiana,1.1060170565945,0.0145620969419596,0.00558454263818686,1,1,1,1,0,0,0
pointbreak,1.10712176873731,0.0352362204724409,0.0140735502121641,1,1,1,1,2,0,0
invictus,1.10725329427465,0.00288683602771363,0.00110877037365562,1,2,1,1,1,0,0
deerhunterthe,1.11046694207939,0.0502471169686985,0.0205514147188653,1,1,1,1,1,0,0
case39,1.11434309970833,0.00878859857482185,0.00233038737193862,1,1,1,1,0,0,0
excalibur,1.11564860199393,0.0259649122807018,0.0106156289953896,1,1,1,1,1,0,0
