movie,leftSpaceCount,pctTokens,pctRecords,pctTokensI,pctTokensQuestionMark,pctTokensQuestionWord,pctTokensYou,pctTokensWe,pctTokensCapitalized,pctTokensCharacterMention,pctTokensCharacterMentionCapitalized,pctLinesCharacterMention,pctLinesCharacterMentionCapitalized,pctLinesOnlyCapitalizedCharacterMention,pctLinesCharacterDirection,pctLinesCapitalized,pctLinesSetting,dialogueIndentInd,characterIndentInd,descriptionIndentInd,settingIndentInd,characterDirectionIndentInd,mixedCharacterWithDialogueIndentInd,mixedDescriptionWithDialogueIndentInd,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount,entropy,pctRecordsDropped,pctTokensDropped
10thingsihateaboutyou,0,0.000626138433515483,0.000247096614776378,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,10,0.488957194899818,0.31035334815913,0.00151338766006985,0.000931315483119907,0.00360884749708964,0.00221187427240978,0.00128055878928987,0.0830034924330617,0.090337601862631,0.0060535506402794,0.617834394904459,0.0414012738853503,0.00238853503184713,0,0.112261146496815,0.071656050955414,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,14,0.000512295081967213,0.000247096614776378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,16,0.000398451730418944,0.000247096614776378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,20,0.435621584699454,0.403261675315048,0.0516137462433033,0.0492617274271528,0.0121520972167777,0.0686005488043904,0.00849340128054358,0.000522670848033451,0.0109760878087025,0,0.0514705882352941,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,27,0.0134335154826958,0.0355819125277984,0,0,0,0,0,0,0.0974576271186441,0,0.159722222222222,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,31,0.000284608378870674,0.000247096614776378,0.2,0,0,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,33,0.0599954462659381,0.249567580924141,0,0,0,0,0,1,0.912713472485768,0.912713472485768,0.952475247524752,0.952475247524752,0.916831683168317,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
10thingsihateaboutyou,37,0.000170765027322404,0.000247096614776378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37626107201325,0.0368173956016803,0.0154257741347905
12monkeys,0,0.000438315519741057,0.00039769337840525,0,0,0,0,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
12monkeys,4,0.520651404295492,0.351362099821038,0.000388550705867116,0.0013599274705349,0.00362647325475975,0.000323792254889263,0.00291413029400337,0.233907524932004,0.0541380650174848,0.0535552389586841,0.473118279569893,0.468024900962083,0,0.0265987549518959,0.1092246745897,0.0979060554612337,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
12monkeys,8,0.42297447655012,0.432889242394114,0.0396970904742925,0.0353925866879235,0.0131526504583499,0.0580310880829016,0.0110801115982463,0.0450378636907134,0.00829015544041451,0.000239139099242726,0.0477721635277905,0.00137804317868627,0,0.00091869545245751,0.0477721635277905,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
12monkeys,12,0.0147678613574294,0.0290316166235832,0.00228310502283105,0.00684931506849315,0,0,0,0.0867579908675799,0.0365296803652968,0,0.10958904109589,0,0,0.945205479452055,0.0479452054794521,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
12monkeys,16,0.0407970599143599,0.185325114336846,0,0,0,0,0,0.974380165289256,0.527272727272727,0.527272727272727,0.684549356223176,0.684549356223176,0.594420600858369,0.01931330472103,0.98175965665236,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
12monkeys,17,6.74331568832395e-05,0.000198846689202625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
12monkeys,18,0.000134866313766479,0.000198846689202625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.30325157637618,0.0304235434480016,0.0155770592400283
