id|movie|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|angerPercentile|anticipationPercentile|disgustPercentile|fearPercentile|joyPercentile|sadnessPercentile|surprisePercentile|trustPercentile
1|10thingsihateaboutyou|10256|34|1589|0.0360764430577223|0.0488494539781591|0.0229134165366615|0.0384165366614665|0.0418291731669267|0.03100624024961|0.0352964118564743|0.0538221528861154|0.5|0.800480769230769|0.576923076923077|0.319711538461538|0.814903846153846|0.293269230769231|0.769230769230769|0.733173076923077
2|12monkeys|18119|143|1626|0.0378056184116121|0.0459738396158728|0.0204757436944644|0.0562944974888239|0.025553286605221|0.0331144102875435|0.0315690711407914|0.048788564490314|0.572115384615385|0.670673076923077|0.4375|0.78125|0.221153846153846|0.430288461538462|0.497596153846154|0.548076923076923
3|1492conquestofparadise|12931|42|1287|0.0380481014616039|0.054288144768386|0.0220400587734901|0.0482561286830098|0.0457041218776583|0.0354187611166963|0.0372747660660428|0.0699868532982755|0.576923076923077|0.939903846153846|0.516826923076923|0.569711538461538|0.887019230769231|0.600961538461538|0.867788461538462|0.954326923076923
4|15minutes|14234|59|1536|0.0447520022481383|0.0370942812982998|0.0207250245890122|0.0588731206969229|0.024026977659126|0.035548686244204|0.0274694393705213|0.0436981874385275|0.793269230769231|0.185096153846154|0.451923076923077|0.826923076923077|0.173076923076923|0.603365384615385|0.180288461538462|0.288461538461538
5|30minutesorless|13184|24|1487|0.0534739077669903|0.0420206310679612|0.0303398058252427|0.0518052184466019|0.031932645631068|0.0388349514563107|0.0361802184466019|0.0486195388349515|0.947115384615385|0.461538461538462|0.870192307692308|0.680288461538462|0.495192307692308|0.754807692307692|0.814903846153846|0.543269230769231
6|48hrs.|11737|43|1404|0.0535912072931754|0.0401295049842379|0.0230893754792536|0.0603220584476442|0.0307574337564966|0.0328874499446196|0.035699071312942|0.0537616085882253|0.949519230769231|0.338942307692308|0.591346153846154|0.858173076923077|0.454326923076923|0.411057692307692|0.78125|0.728365384615385
7|5050|12095|46|1557|0.0346424142207524|0.0467135179826375|0.0253823894171145|0.0476229847044233|0.0422488631665978|0.0474576271186441|0.032740801984291|0.0512608515915668|0.449519230769231|0.711538461538462|0.685096153846154|0.552884615384615|0.824519230769231|0.949519230769231|0.579326923076923|0.661057692307692
8|8mm|18468|30|1601|0.0330842538444878|0.0376868096166342|0.0199805068226121|0.0402317522200563|0.0258826077539528|0.0315681178254278|0.0207927225471085|0.0474875460255577|0.382211538461538|0.199519230769231|0.408653846153846|0.370192307692308|0.237980769230769|0.34375|0.00721153846153846|0.466346153846154
9|abyssthe|17962|39|1474|0.0374679879746131|0.0350740452065472|0.019485580670304|0.0519429907582675|0.0197639461084512|0.0324574100879635|0.0286716401291616|0.0414764502839328|0.555288461538462|0.09375|0.362980769230769|0.6875|0.0576923076923077|0.391826923076923|0.25|0.216346153846154
10|afewgoodmen|15260|34|1892|0.0350589777195282|0.0355176933158585|0.018610747051114|0.0418741808650066|0.0198558322411533|0.0293577981651376|0.0203800786369594|0.0749017038007864|0.459134615384615|0.110576923076923|0.288461538461538|0.415865384615385|0.0625|0.213942307692308|0.00480769230769231|0.983173076923077
11|affliction|9458|27|1063|0.0390145908225841|0.0430323535631212|0.0247409600338338|0.0477902304927046|0.0281243391837598|0.0370057094523155|0.0360541340663988|0.0467329245083527|0.608173076923077|0.538461538461538|0.661057692307692|0.555288461538462|0.346153846153846|0.682692307692308|0.800480769230769|0.413461538461538
12|airforceone|15361|91|1893|0.052079942712063|0.033851962762841|0.0158192825987891|0.0673784258837315|0.0227849749365276|0.0339821626196211|0.0302063667729966|0.0708938220167958|0.930288461538461|0.0552884615384615|0.0961538461538462|0.939903846153846|0.137019230769231|0.502403846153846|0.394230769230769|0.963942307692308
