id|movie|tokenCount|characterCount|sectionCount|genreList|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|genreCount
1|10thingsihateaboutyou|10256|34|1589|Comedy, Romance|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.027439165742128|-0.0345899986597375|0.0177382574460334|-0.0152233813109172|0.00268150066190098|-0.0447712348791136|0.0325733338424058|-0.0156552434502013|2
2|12monkeys|18119|143|1626|Drama, Sci-Fi, Thriller|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0.0205694865567422|0.0156578725630671|-0.0348531554097217|-0.0491453458986272|-0.0512243218708776|0.0309745204817521|-0.00339003305108588|-0.0124909800508074|3
3|1492conquestofparadise|12931|42|1287|Adventure, Drama|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.00690791004148|-0.096166729791739|-0.0407884182369698|-0.0230485089830086|-0.0102081078105658|-0.0118683599227536|0.00454478759423136|-0.0205017579079302|2
4|15minutes|14234|59|1536|Action, Crime, Thriller|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.0413632984753843|0.0425777207758102|-0.0290855110697314|-0.0159507693932668|0.00166563973507563|0.0117504945012144|0.018485739964074|0.0583565104106614|3
5|30minutesorless|13184|24|1487|Action, Adventure, Comedy|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0457961080907162|-0.00762867698146759|0.0283917818244512|0.021003963895107|0.0332518778471557|-0.062600530516651|0.0664800407699043|-0.0410825434767357|3
6|48hrs.|11737|43|1404|Action, Comedy, Thriller|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.0538945486640819|-0.00900901433066806|-0.0370628165371171|-0.0355062374833195|0.0203984785572759|-0.0863553996677872|0.044521673486179|0.0163741312979571|3
7|5050|12095|46|1557|Comedy, Drama|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00336764209102776|-0.0382541225891366|0.0421179809660966|0.0293297577190136|0.028166761039961|0.0887980101022774|-0.0515216354822144|0.0332955847204473|2
8|8mm|18468|30|1601|Mystery, Thriller|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|-0.021254683920023|0.0446692363976658|-0.0378559750928435|0.0501435215475015|0.00143862275331049|0.0257786267435593|0.0463567026827746|0.0379079155780543|2
9|abyssthe|17962|39|1474|Action, Adventure, Sci-Fi, Thriller|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0.0165329627863161|0.0659695922777787|-0.0315706327417529|-0.0116039544212825|-0.00272386365865609|0.0061200447532441|-0.0191358661230301|0.00870033727999563|4
10|afewgoodmen|15260|34|1892|Crime, Drama, Mystery, Thriller|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|-0.0170697025866|-0.00137915917196044|-0.181179217157113|0.110190675900341|0.0133903111790657|-0.0150241940271438|0.0409101587716014|-0.0527878280058908|4
11|affliction|9458|27|1063|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0123039109065187|0.0129689807802042|0.0118022147969002|-0.00606437730720467|0.00393235579298551|-0.000491892023146089|-0.0172455148808727|-0.0638316211911021|1
12|airforceone|15361|91|1893|Action, Adventure, Drama, Thriller|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.0643504869931367|-0.0168152848509766|-0.170784055311273|-0.00366276212374851|0.0453959809476455|-0.0518620245664178|0.0018923629035423|0.0266527446644528|4
13|airplane|11264|78|1631|Comedy, Romance|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0377478870302845|0.026546413481184|-0.0325215924175395|-0.0168929141408743|-0.0398335656436031|0.115709526514551|0.0147445997633766|-0.0388518933515118|2
14|airplane2thesequel|13097|133|1815|Comedy, Sci-Fi|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0.0149411155335072|0.017161376645552|-0.0159393600943889|0.0319364230836897|-0.003388571623653|0.0618869309530707|-0.0488305901700006|-0.0433723342080973|2
15|alien|12409|8|1537|Action, Horror, Sci-Fi, Thriller|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0|0.0168935704753192|0.0143018412096739|-0.00282826574910965|0.089730470354603|-0.200632738402049|0.0965064052492408|0.0130885383949788|-0.111434930786869|4
16|aliennation|14605|60|1173|Crime, Drama, Sci-Fi|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0.0459772775420733|0.0708926610904268|-0.0229117027593001|-0.00615213128546236|-0.0668695861102145|-0.0442532188211322|-0.0538409646565917|0.0440521140876841|3
17|aliens|16375|36|1418|Action, Horror, Sci-Fi, Thriller|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0|0.100611585866543|0.0532142084743092|-0.0107807365016737|0.00668940300730863|-0.0494540279971543|-0.00168581653044523|-0.041924029710725|0.0412537669568062|4
18|allabouteve|16341|26|1843|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0796693114342069|-0.0365124923960978|0.022189616595328|-0.0610543205412649|0.023709906387934|-0.0356391096687433|-0.0342253123931593|-0.0209081681542878|1
19|almostfamous|19583|75|1991|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.052109013056506|-0.0490146027827541|-0.00100790732346003|-0.0310843429270591|0.00568760653046185|0.0427040087492819|0.0315649667170656|0.0412465659469523|3
20|amadeus|19771|58|2059|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0431862163406315|-0.14144865302681|0.0140054772023743|-0.00140266077063101|0.0597166258770175|0.0657212529276771|-0.0477819734316256|0.0188782903271137|1
21|americanpie|11986|55|1667|Comedy|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0716792567937648|0.00346895394590118|0.0423893180529595|0.0124762987225253|0.00447202840658518|-0.0295770663554017|0.0288307775121419|0.0522151888956462|1
22|americansplendor|11251|46|1077|Comedy, Drama|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0335362101992196|0.000854117480545356|0.0282619314856829|0.0153830948654486|0.0191035879723835|0.00072766049547045|-0.00866542280663734|-0.0341705056963585|2
23|americanwerewolfinlondon|9320|40|1291|Comedy, Horror, Romance|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0.0737616242462755|-0.0293071906718839|0.00569132182002584|0.0356359052357718|0.0119539381352241|0.0274388875864393|-0.0641379384985216|-0.0182111344002138|3
24|amour|7486|16|820|Drama, Romance|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0689732962359783|0.0222771635653292|0.0359073772466539|0.0102511242611638|0.00348228361420988|0.0703341733497907|-0.0263670809334777|-0.0720975023099731|2
25|anastasia|11665|50|1147|Animation, Family, Musical|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|-0.014179067514309|-0.0287023440386646|0.0589253497061593|-0.0625987604892032|0.0281044707216383|-0.0353240020235158|0.0122535233288489|0.0420159007547091|3
26|annakarenina|15639|76|1822|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0498208720631374|-0.0515332087546975|0.0303932649075461|-0.0321088624572717|0.00381770800208159|0.0441861512980717|-0.0275150654678475|0.00681511536874901|1
27|anniversarypartythe|9308|34|1399|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0667930218209648|-0.0779645058126114|0.0783038509337446|-0.0880767546780727|-0.00355084636991573|-0.0743186228663547|-0.0500963434991864|-0.00939909162464408|1
