movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount
evildeadiideadbydawn,0.688356768600653,0.0166021029330382,0.009179548156956,1,1,1,2,3,0
hellboundhellraiserii,0.814686458877787,0.00812127774769897,0.00306466441924609,1,2,1,5,8,0
crash,0.836870930071611,0.0145348837209302,0.00382374362709395,1,1,1,1,1,0
armyofdarkness,0.85975106656135,0.0129773822766036,0.00681834493648173,1,2,1,1,1,0
indianajonesandtheraidersofthelostark,0.877602928098522,0.037037037037037,0.0104925677645001,1,1,1,1,1,0
terminator2judgementday,0.885711024767704,0.0333907798362775,0.0110175172695211,1,1,1,2,1,0
xmen,0.894876602195682,0.01392319784415,0.0058989291752771,1,1,1,1,2,0
indianajonesiv,0.905191684444986,0.0580383052814858,0.0188657737247079,1,1,1,1,1,0
mud,0.905691101237035,0.000793965859468043,0.000285673475217826,1,2,1,1,0,0
blackswan,0.925486701032868,0.00736160188457008,0.00308103708871061,1,1,1,1,0,0
danceswithwolves,0.927962395803932,0.0137090632140137,0.00475508450300773,1,1,1,1,1,0
panicroom,0.952132838451052,0.0216931216931217,0.00767780172413793,1,1,1,1,2,0
fridaythe13thpartviiijasontakesmanhattan,0.961636992019225,0.0204698767155152,0.00726044744617982,1,1,1,1,1,0
bloodsimple,0.973966214441825,0.025028441410694,0.00938679726558514,1,1,1,1,1,0
indianajonesandthetempleofdoom,0.984490135608808,0.0311425682507583,0.00994741177215992,1,1,1,1,12,0
bladeii,0.994468527832298,0.0376018932421772,0.0139550571271976,1,1,1,1,2,0
jurassicparkthelostworld,0.998100527515259,0.0265136525524337,0.00989718458729701,1,1,1,2,2,0
prometheus,0.998830533226823,0.0197560975609756,0.00580295193641983,1,1,1,1,0,0
crowthe,1.01918885567053,0.0311050477489768,0.0102203152870848,1,1,1,1,2,0
mummythe,1.02188341175272,0.00772291130353382,0.00253528588186325,1,1,1,1,1,0
darkcity,1.03008488831035,0.0330157323288278,0.0115693373209507,1,2,1,1,1,0
petsematary,1.03487476520034,0.00247066090179123,0.00105827330761615,1,1,1,1,0,0
takeshelter,1.03718931016768,0.000859845227858985,0.000311251750791098,1,1,1,1,0,0
blade,1.037501757294,0.0308158625915635,0.0100803007004955,1,2,1,1,1,0
rambofirstbloodiithemission,1.03875065701596,0.0558460573101862,0.0173753636472323,1,1,1,1,2,0
